Variable,Importancia
Family_History_No,0.07795077884355997
Family_History_Yes,0.07273105866567042
Smoking_History_No,0.0645124483018005
Genetic_Mutation_Yes,0.06395469641468428
Smoking_History_Yes,0.06330274552053683
Genetic_Mutation_No,0.0603636978113911
Diet_Risk_Low,0.05690890127174511
Diet_Risk_Moderate,0.05636617054637537
Inflammatory_Bowel_Disease_No,0.04575792691373381
Age,0.04144123848609276
Inflammatory_Bowel_Disease_Yes,0.04002901998864083
Gender_M,0.038036012540485276
Gender_F,0.03634290038959114
Obesity_BMI_Obese,0.031357372596514055
Alcohol_Consumption_Yes,0.02763081472736089
Alcohol_Consumption_No,0.027552729582967502
Diet_Risk_High,0.02641161315108458
Diabetes_Yes,0.020742640299314344
Obesity_BMI_Normal,0.02051615118412371
Physical_Activity_Moderate,0.019240076556821594
Diabetes_No,0.019086386476627363
Physical_Activity_High,0.011059354517338969
Obesity_BMI_Overweight,0.01088630039800188
Healthcare_Access_High,0.007217688230942217
Healthcare_Access_Low,0.006993669332457892
Urban_or_Rural_Rural,0.006867378463628528
Urban_or_Rural_Urban,0.0068479232996014
Economic_Classification_Developing,0.006820775155475443
Economic_Classification_Developed,0.006765603960383952
Healthcare_Access_Moderate,0.0066898329124099876
Physical_Activity_Low,0.0065477121857399736
Insurance_Status_Uninsured,0.006541686899761412
Insurance_Status_Insured,0.006526694375136958
