Feature_Original,Importance
Family_History,0.1506818375092304
Diet_Risk,0.13968668496920505
Smoking_History,0.12781519382233733
Genetic_Mutation,0.12431839422607538
Inflammatory_Bowel_Disease,0.08578694690237464
Gender,0.07437891293007642
Obesity_BMI,0.06275982417863965
Alcohol_Consumption,0.05518354431032839
Age,0.04144123848609276
Diabetes,0.0398290267759417
Physical_Activity,0.03684714325990054
Healthcare_Access,0.020901190475810096
Urban_or_Rural,0.013715301763229928
Economic_Classification,0.013586379115859394
Insurance_Status,0.01306838127489837
