"factor","OR","std.error","statistic","p","OR_low","OR_high","factor_legible","significativo","direccion"
"Inflammatory_Bowel_DiseaseYes",2.7205417743052127,0.015418861341273106,64.90952996150881,0,2.639695033348013,2.804163175519519,"EII","***","Factor de riesgo"
"Diet_RiskModerate",2.0075843759138943,0.009132940182033,76.3097296607446,0,1.9719784844678214,2.0438553369332793,"Dieta moderada (ref: Low)","***","Factor de riesgo"
"Family_HistoryYes",1.8711695131778163,0.008605220087211717,72.8120416615446,0,1.8398864613038042,1.9030080273003422,"Antecedentes familiares","***","Factor de riesgo"
"Genetic_MutationYes",1.6662133648092674,0.011512280487319839,44.34860723036825,0,1.6290613787562052,1.7042610786512196,"Mutación genética","***","Factor de riesgo"
"GenderM",1.572805050561647,0.00724346211152765,62.51992136138637,0,1.5506369904742192,1.5952966365237158,"Género: Hombre (ref: Mujer)","***","Factor de riesgo"
"Obesity_BMIObese",1.5025369579261267,0.009516406343949553,42.78453126425783,0,1.47477594675481,1.5308295569456978,"Obesidad (ref: Normal)","***","Factor de riesgo"
"Diet_RiskHigh",1.4249522918170547,0.00988078628571486,35.8411085406768,2.5299931525454173e-281,1.3976269656052596,1.4528219438252663,"Dieta alto riesgo (ref: Low)","***","Factor de riesgo"
"DiabetesYes",1.1540471224853137,0.009313107781902428,15.384230983922587,2.088429998134958e-53,1.1331750284783049,1.1753080623671774,"Diabetes","***","Factor de riesgo"
"Alcohol_ConsumptionYes",1.1247281921576044,0.007292206102995187,16.11877089505468,1.883175457476119e-58,1.1087679159444361,1.1409193421492931,"Alcohol regular","***","Factor de riesgo"
"Obesity_BMIOverweight",1.1077686449638264,0.008468918319694688,12.085104434196598,1.2660919003863676e-33,1.0895336714296748,1.1263106601348571,"Sobrepeso (ref: Normal)","***","Factor de riesgo"
"Age",0.9995717217645886,3.031234162660697e-4,-1.4131866749368207,0.15760084343806724,0.9989780377580886,1.0001657536044997,"Edad (+1 año)","n.s.","No significativo"
"Smoking_HistoryYes",0.9611676206480659,0.007546515357354428,-5.2483113324936586,1.534997316182618e-7,0.9470552484532107,0.9754893843912759,"Tabaquismo","***","Factor protector"
"Physical_ActivityLow",0.9058055973006365,0.009594989594714503,-10.310648855052877,6.307402310462653e-25,0.8889295980308468,0.9230005080053106,"Sedentarismo (ref: Alta)","***","Factor protector"
"Physical_ActivityModerate",0.7116463191222842,0.008794398655041611,-38.680783887197215,0,0.6994834695355183,0.7240175553692598,"Actividad moderada (ref: Alta)","***","Factor protector"
