"factor_legible","OR","OR_low","OR_high","RR_literatura","diferencia_pct","fuente"
"EII",2.7205417743052127,2.639695033348013,2.804163175519519,2.93,-7.1,"Johnson 2013"
"Dieta moderada (ref: Low)",2.0075843759138943,1.9719784844678214,2.0438553369332793,1.1,82.5,"Johnson 2013"
"Antecedentes familiares",1.8711695131778163,1.8398864613038042,1.9030080273003422,1.79,4.5,"Butterworth 2006"
"Mutación genética",1.6662133648092674,1.6290613787562052,1.7042610786512196,4,-58.3,"NCI CCRAT"
"Obesidad (ref: Normal)",1.5025369579261267,1.47477594675481,1.5308295569456978,1.33,13,"Ma 2013"
"Dieta alto riesgo (ref: Low)",1.4249522918170547,1.3976269656052596,1.4528219438252663,1.25,14,"Johnson 2013"
"Diabetes",1.1540471224853137,1.1331750284783049,1.1753080623671774,1.27,-9.1,"Johnson 2013"
"Alcohol regular",1.1247281921576044,1.1087679159444361,1.1409193421492931,1.21,-7,"Johnson 2013"
"Sobrepeso (ref: Normal)",1.1077686449638264,1.0895336714296748,1.1263106601348571,1.1,0.7,"Ma 2013"
"Tabaquismo",0.9611676206480659,0.9470552484532107,0.9754893843912759,1.18,-18.5,"Johnson 2013"
"Sedentarismo (ref: Alta)",0.9058055973006365,0.8889295980308468,0.9230005080053106,1.32,-31.4,"Johnson 2013"
"Actividad moderada (ref: Alta)",0.7116463191222842,0.6994834695355183,0.7240175553692598,1.14,-37.6,"Johnson 2013"
